a	khat
a little	tawmkhat
a little	tawmcilik
a little	themcik
a little	themcikkhat
a lot	tamkhopkhat
a lot	tampi
a lot of	tampitak
a lot of	tampipi
abandon	nusia
abandon	paisan
abandon	zatloh
abandoned	kinuseta
abandoned	kinuse-khinta
abandoned	nusiatsa
abba	pa, papa
abbrevition	tomlawhna
abbrevition	tomkaihna
abbrevition	tomlaakna
abdomen	gilpi(lai leh diipmawn kikaalteng)
abdomen	gilpikuamteng
aberrant	lampial
aberrant	paikhial
abhor	kih
abhor	zadah
abhor	mudah
abhor	hua
abhor	ning
abhorence	kihna
abhorence	zaakdahna
abhorence	muhdahna
abhorence	huatna
abhorence	ninna (ningna hilo)
abhorent	kihhuai
abhorent	zaakdahhuai
abhorent	muhdahhuai
abhorent	huathuai
abhorent	ninhuai (ninghuai hilo)
abide	omkhawm
abide	leenkip
abide	thumang
ability	hihtheihna
abject	cimawh-genthei
abject	zawngkhaal
abjection	cihmawh-gentheihna
abjection	zawngkhaalna
abjectness	zawngkhaalna
abjure	kisiikciamna
ablate	heumang
ablate	pulhsiang
ablate	tolsiang
ablate	aatkhia
ablaz	kuangluahluah
ablaz	ngaklahmahmah
able	hihthei
abloom	paakpalh-laitak
abnormal	mibanglo
abnormal	gualbaanlo
aboard	tuang
abolish	phiat
abolish	beisak
abolish	susia
abolished	phiat-maimangzo
abolishment	phiat-maimanna
abort	nausia, nautolh
aborticide	suulnautui-suksiatna
abortion	suulnau-thahna
abortion	nauci-thahna
abortive	lawhcinglo, taksuahlo, gahzolo
abound	dimleet, akuui-avuum
about	tuazahkiim
about	kisai, lamsang
above	atungah
above	zawtham, tungnung
abrade	kiatsiang, nawtsiang, taatsiang, kiatmaai, nawtmaai, taatmaai
abrim	agong dong dim, dimphial
abroad	taanzau
abroad	gampua, gampawlam
abrogate	phiatmaimang
abrupt	hihvat
abscind	ekh, tawntan
absence	omlohna
absence	kihel lohna
absent	omlo
absent	kihello
absent	thumang lo
absent-minded	phawkkhalo
absolutely	kitangaihtakin, adiktakin, siangtakin
absorb	huup, dawn
absorb	tawpkang
absorb	kigawm
abstain	kideek-kidaamna
abstract	kilawngtheilo
abstract	theihhaksa
abstract	ngaihsutna
absurd	kilawm-kituaklo
absurd	haivai
abundance	kicinna
abundance	kiningcinna
abundant	kiningcing
abundant	kicing
abuse	zanghkhial
abuse	kheem
abut	kizom, kimat, kipeh, kigamgi
abuzz	phevulvul-phevalval (adj.)
academy	siamsinna,saanglai-sinna
accelerate	haatsak, kinawhsak
accent	awgin
accent	gingsak
accept	pom, saang, lungkim, thukim
acceptance	pomna, saanna, lungkimna, thukimna
access	luutna
access	vanaihna
accident	tuahsiatna
accident	dongtuahna
accident prone	tuahsiat-theihdeuhna kuam
accommodation	teenna
accommodation	luahna
accompany	paikhawm, tonkhawm, kikhawl, kithuahpih
accomplish	taangtun/matun
accomplished	taangtunzo/matunzo
accord	thukimna, kithukimna
according	tuabangin
according to	tuamah-bangin
account	sumsuutna, sumsimna, sumciaptehna
accountancy	sumsuutna-lamsang
accurate	kituaklian
accurate	kilem-liinlian
accurate	kitangaih
accuracy	kituahlianna
accuracy	kiciatna
accused	ngawh
accused	mawhsak
ache	natna, naa, naasa
achieve	taangtun/lawhcing
achieve	matun
achievement	lawhcinna, matutna, taangtunna
acknowledge	hilhkik, kokik, theisakkik
acknowledge	theihpih
acknowledge	thupisim
acne	taangsiat
acne	civom
acne	meimapawn
acquaint	kimeeltheihsak (v.)
acquaintance	kimeeltheihna, kimaingapsak
acquire	la, tang, ngah
acquired	lakhinta, ngahkhinta, tangkhinta
acquisition	laakna, tanna, ngahna
acquit	khahkhia
acquitance	vaivenna, penkhiatna,suahtaakna
across	kaantan
across	khengg
act	gamta
act	hih
act	seem
act	bawl
acting	gamtat-kampau-luheek
action	gamtatna, sepna-bawlna
action	gawtna
activate	kizensak, thakhauhsak
active	gamtaang/kizen
active	thanuam
actively	lawptakin, kizentakin, thanuamtakin
activities	gamtat-kampau-luheeknate
activity	nnasep-silbawlna
activity	gamtat-luheekna
actor	kineih/ciing
actual	ahibang
actual	ataktak
actually	adiktakin, ataktakin
acurus	sahikpeh-natna
acute	lauthawng
acute	naapha
acute	zum, hiam
acute angle	awnn
adamant	akhauhna, ataakna
adapt	bulh
adapt	belh
add	guang, gawm, thun
add	behlap
addicted	zongsang-khinta
addicted	ngolvei-khinta
addicted	kingeinaseh-khinta
addition	behlapna
addition	guanbehna, nihbehna, leihna
additional	akiguanbeh
additionally	akiguanbehna
addorsed	kinungngat, kilehbulh
address	geenkhia
address	munlemual/mun leh mual
adept	siammahmah, siamngeel, siampeetmah
adeptly	siamtakin, neeltakin
adeptness	siammah-mahna
adequate	kicing
adequate	kiningcing
adequacy	kiningcinna,kicinna
adequately	kiningcinna
adharma	thudiklo
adhere	belh, matkhawm, kilhkhawm
adhesive	matkhoptheih, belhkhoptheih
adjacent	kizom
adjacent	kimat
adjective	zeem, zepna
adjoin	vazom (v.)
adjourn	suan, sot, khiin
adjust	kituaksak
adjust	lemtuah
admire	paakta
admire	deihta
admire	ngaizawng
admit	luutsak
admit	phal, pom
adopt	tang, tangg
adopt	ngah
adopt	nei
adorable	biaktheih-paaitheih
adorable	biaktaak-paaitaak
adulate	phatlawliang, phat-uanglua
adult	picing
adulthood	picinvai, picinhun (n.)
adulterate	asia-apha gawmna
adultery	nulehpa-mawhna
adumbrate	giitmialmual
adust	kaangdeeu
advance	mapai
advance	mainawt
advance	pekhol
advanced	madawk
advanced	upata/uhaamta
advanced	hihkhol-khinta
advantage	madawkzawkna, meetzawkna, ahoihzawkna, phattuamzawkna
advantageous	meethuaizaw, deihhuaizaw, hamphathuaizaw
advent	lamen, umh
adventism	lametna, upna
adventist	upna leh lametna aneite
adventure	hihngam
adventure	kipengam
adverb	sepnanei-kammalzepna
advertise	puangkhia, zuakkhia, taangkokhia
advertisement	puankhiatna, taangkona,
advertising	zuaklai
advertising	puangzaak
advertising	taangko-laitak
advice	kilamlahna
advice	kithuhilhna
advise	lamlak
advise	thuhilh
advise	hilh
advisory	lamlahna
advocate	thukhun-palai
advocate	palai
aerometer	huihgik-tehna
aesthetic	paal-aam
affair	tungtaang
affair	kingai
affair	kideihta
affect	sukha, lawhkha
affect	huzaap
affected	kilawhkhin, lawhkhin
affection	itna
affection	ngaihbaanna
affection	pahtaakna
affective	muibun
affiance	kamciampiakna, zuthawlpiakna, kikhaamna
affiliate	kizoppih (v.)
affirm	kipsak, leenkip
afford	hihzo
afford	hihthei
affordable	akihihthei
afraid	lau
afraid	lauthawng
after	khitteh
afternoon	suunkhit, suunnung
afterwards	tuakhitteh
again	kikkik
again	phapha
against	kilangpan/kikeelki
age	kum, hunkhen
agency	palaina
agency	taangmi
agent	palai
aggress	mitohaat
aggress	phinhaat
aggressive	lungtom, hehbaih
agile	manlaang
agile	kin, kinawh
agitate	kiphin, lungpho
ago	hunbeisa
agony	kitom
agony	kisaan
agony	kipeekgawpna
agree	thukim
agree	kithukim
agree	kilem
agreement	kithukimna
agreement	kilemna
agriculture	lokhawhna
agriculture	khaiciinna
agriculture	lokhawh-huanbawlna
agricultural	lokhawh-khaiciinna-lamsang
ahorizon	leitham-tungnungpeen
ahead	mailamah, ama-ah
ahead of	makhelh
aid	huhna
aid	panpihna
aide	apanpihtu, ahuhtu
aids	thazawm-natna
ail	ngaplo
aim	ngiim
aim	tum
aim	sawm
aimless	tup leh ngiim neilo
aimlessly	sawmlolua
aimlessness	tup leh ngiim-neihlohna
air	huih
air base	huih-galkap phualpi
air bladder	ngasa-huihphuuk
airborne	huihtawn, huihlak
air burst	huihlaka puakkham
aircock	huihdaal
air corridor	huihlampi
aircrew	vanleng nnasemte
air cushion	muutpuak-tutphah
air cushion	muutpuak tokhom
air drome	vanleng tukna
airport	vanlengtual
aisle	lampi
ajar	kong-kihong
alarm	patau
alarm	liinglawng
album	limbu
albumen	aaktuida
alcohol	zu
alcohol	niingzu (poetry)
alcoholic	zunam
alert	kigingsa
alert	kithawisa
alert	navaak/tei
alive	hing
alive	nungta
alive	dam
all	avekpi
allegation	ngawhna, siiksan omlopi-a pumngawhna
allergy	kihuatpih
all-nighter	zaanhak
all right	dikkhin
all the best	gualzo in
allocate	khenkhia, tuamkoih
allocation	sehtuamna, khenkhiatna
allottee	sehkhiat-ngahmi
allow	phal
allowed	awizam ta
allowed	lemsa ta
ally	kipawl, kizom, kitanau
almost	dektak
almost	phial ta
alone	khatguak
alone	bek
along	dungzui
aloof	tuam-om, tangtat
already	hikhinta
already	manta
Alright	pha
also	zongh, leh
altar	biaknataau
alter	kheek, kheel
altrnate	kikalhelh
alternative	khatzawzaw, kheeltheih, kheektheih
although	ahizonghin
altitude	tuipitung pana asaanna
alto	lapaisuak zoma a-eu, asaangzom
altogether	avekin
alumna	saangkah ngei, saangzosate
always	atawntungin
always	denden
always	ngitnget
amass	kaaikhawm
amassment	ciangvenvan, vuumvenvan
amaze	lamdangsa
amazing	lamdang
amazingly	lamdangtakin, lamdangsa-takin
amazement	lamdang-sakna
ambassador	gampalaipa
ambassadress	gampalainu
ambiant	kiimlepaam
ambit	kiim-uum
ambiguous	kicianlo
ambiguous	kitello
ambition	tupna
ambition	ngiimna
ambition	utna
ambitious	lunggulhna
ambush	gaalbuk, gaalpangsim, gaalsimpan
amend	bawlpha
amend	puahpha
amends	liausum, gapnasum
amenity	innnuam
amicable	kihotheihpih, kikholhpihtheih
amity	kilawmtaakna
amid	akawmkaalah
